"","HAMD","totalRBANS","roi","delayed_memory","attention","language","visuospatial","immediate_memory","d","pval"
"1",0.0960147116539716,-0.19493868361434,"Cerebellum-Cortex",-0.302277801858698,-0.711195359512274,0.308143614196156,-0.12229699087801,0.275460749750625,-0.427102988967366,0.108164168095466
"2",-0.2866685216648,0.278176186839069,"Thalamus-Proper",0.129123928401391,-0.157280517053765,0.321275956168584,0.00126492736203327,0.330110415800873,0.0370546122667589,0.884144501744816
"3",-0.100819697829656,0.0923096540309407,"Caudate",-0.354562494346836,-0.0364852895831888,0.173090888444194,0.00577762396391836,0.0139006406464538,-0.00940571899158178,0.970484518521706
"4",-0.276769814950409,0.153908825854125,"Putamen",0.0162755541349989,0.0802115368775252,0.429134847414885,-0.233014168487697,0.0502933535611214,0.180221421429399,0.482064811759532
"5",0.236239041899111,0.236538584503237,"Pallidum",0.0105285469742885,0.387737712446929,-0.345245745779196,0.349399252885961,0.228976701795745,-0.0191196771187103,0.940049011155774
"6",-0.0433393209721836,-0.681907841666881,"Hippocampus",-0.378993973788729,-0.647015256689099,-0.169897124697415,-0.336306989924005,-0.290386611898407,1.51822743783388,2.13325674289956e-05
"7",-0.24549666343663,-0.291555407651314,"Amygdala",0.170260815088371,-0.0718257607004856,-0.181358766732104,-0.418787540416873,0.096218939232516,0.936513770175259,0.00194660466174928
"8",-0.493249623636349,0.336446151835789,"Accumbens-area",0.356220761040816,-0.193326465262919,0.385043130591192,0.0455670997689637,0.095008112812189,-0.0292138579128463,0.908524860799657
"9",-0.364999684185642,-0.0322240145560762,"VentralDC",0.277274204779,0.00871432291202091,-0.155749822206592,-0.442362845588295,0.188852535990054,-0.718827888503066,0.0115588111876886
"10",0.0935914385413161,-0.116099230811189,"ctx-caudalanteriorcingulate",-0.426007151769826,-0.41208621698173,-0.0208266334945529,0.36796382316527,-0.125281486299594,0.27337652824767,0.291422163185585
"11",-0.129201701743215,-0.333389324113853,"ctx-caudalmiddlefrontal",-0.0571952224836448,-0.523072695067948,-0.231113654169604,-0.247097441447129,-0.137292545853251,-0.102577273025687,0.687379931753251
"12",0.0740204923560264,-0.551506043236728,"ctx-cuneus",-0.549425259332689,-0.476354124428085,-0.21219544968252,-0.300820713939877,-0.0638786497435274,0.259440935505064,0.315820563718009
"13",0.0866591353719872,-0.0482607348673312,"ctx-entorhinal",-0.222201700923055,-0.0092726046235108,-0.135401130632507,-0.00514020953914506,-0.0475752392603048,0.139045680595637,0.586287742795537
"14",-0.279817376292069,-0.167726575913863,"ctx-fusiform",-0.0807467279393764,-0.257524152009361,-0.0941802864808697,-0.211079757085949,-0.0368068704341926,0.141575168796189,0.579564258316941
"15",-0.139075209005179,-0.443012998189685,"ctx-inferiorparietal",-0.453238648863177,-0.559160432485479,-0.0558367385230886,-0.229887588033346,-0.197517636188938,0.186426998041176,0.467369603297653
"16",-0.122103545494241,-0.398624141764073,"ctx-inferiortemporal",-0.0354886534639721,-0.310176089336952,-0.323943793839892,-0.364781571848644,-0.155676016103192,0.199461683327087,0.437408602721525
"17",-0.0079398351340348,-0.0843163179572883,"ctx-isthmuscingulate",-0.339292587604191,-0.553354316350032,0.165215582469595,-0.0318997112785695,0.179527485237663,-0.130008102436033,0.610630688394187
"18",-0.260862179856161,-0.478266879606834,"ctx-lateraloccipital",-0.406995464893669,-0.489581688156287,-0.0990704160320728,-0.367691307731327,-0.0957769637825687,0.0230952529418346,0.927617851792621
"19",-0.269758194481017,0.00282527527939552,"ctx-lateralorbitofrontal",0.138204365031793,0.0337761197189709,-0.187878681147899,-0.254721127865644,0.0600572548477279,-0.243771224305098,0.34498209327768
"20",0.0277707119194311,-0.457714172181673,"ctx-lingual",-0.486037250602029,-0.565186675984997,-0.0817979468618825,-0.360359139440676,-0.0733633922449287,0.017517950835769,0.945062167323724
"21",-0.0480942738166085,0.022769676614041,"ctx-medialorbitofrontal",-0.32109586298724,-0.192811797380176,-0.0128033275059446,0.260986413919503,-0.183241557951565,-0.239541837758278,0.353168561203997
"22",-0.13185724655169,-0.249269946585585,"ctx-middletemporal",-0.137152104978909,-0.488448849886531,-0.0992384596908361,-0.116918481568399,-0.18897862947251,0.291620377632873,0.261631366065686
"23",0.0361659815716708,-0.168031299564063,"ctx-parahippocampal",0.0290665101703226,-0.50228789512314,0.0202278204390241,-0.265621461154897,0.178413899187021,-0.0123871969831716,0.961135715256889
"24",-0.206402889578535,-0.448902210843174,"ctx-paracentral",-0.182599986145362,-0.60735032738896,-0.159803173847999,-0.444550000055869,-0.0034521340033364,0.166944785356882,0.514418492943271
"25",-0.155575792819063,-0.371733654722617,"ctx-parsopercularis",-0.18698209548187,-0.486953355266587,-0.271170204391838,-0.208743068253557,-0.118911119217382,0.233533384891742,0.365029850567975
"26",-0.098230128645379,-0.13685000745874,"ctx-parsorbitalis",-0.0500875359170238,-0.0630872062283044,-0.264724109831099,-0.199730074262965,-0.0647315337748205,0.165369915395824,0.518337476266755
"27",-0.0721205067996103,-0.456352038767648,"ctx-parstriangularis",-0.135824862775833,-0.42266690878862,-0.375684293956609,-0.277021139172395,-0.312149513713709,0.26245477353965,0.310422012810971
"28",0.302752332745232,-0.48268244987363,"ctx-pericalcarine",-0.592690731423836,-0.342977880372712,-0.136460133483391,-0.225217158272734,-0.396279441374482,0.159969100814102,0.531905454984937
"29",-0.220611525738213,-0.361499747472982,"ctx-postcentral",-0.338575728925565,-0.467904963291186,-0.163183544877497,-0.273014723403061,0.109227127855571,0.0757117248129411,0.766165914412141
"30",0.116101983366169,-0.160701258807321,"ctx-posteriorcingulate",-0.350521559957853,-0.456151471583966,0.0763902549735877,0.226967305887644,-0.410838003683843,-0.327459089600151,0.209957771087309
"31",-0.240908333162944,-0.450559504302661,"ctx-precentral",-0.191658357971658,-0.528314245260225,-0.321763389093253,-0.219220576513028,-0.167717126754527,0.0520407743812303,0.837901686786876
"32",-0.110783806746313,-0.449155423821928,"ctx-precuneus",-0.215488848307838,-0.42247169875179,-0.248632269701047,-0.31345708487078,-0.0722827896155616,-0.0491201961145808,0.846871121741116
"33",0.126844597822215,-0.357112697809074,"ctx-rostralanteriorcingulate",-0.393186886140518,-0.242215360711858,-0.193096136020487,0.0134939262767271,-0.345607931296082,0.0781662630135156,0.758839924409548
"34",-0.145356172008778,-0.405927341151969,"ctx-rostralmiddlefrontal",-0.151166466919794,-0.330372057793673,-0.392248913007193,-0.234200211759073,-0.263435705568915,-0.157035441180055,0.539357851338336
"35",-0.230045966644067,-0.2556739294651,"ctx-superiorfrontal",-0.0640632511421525,-0.388446414759896,-0.239162995171658,-0.21967403245664,-0.0583296943943867,0.227844314294598,0.376510864206511
"36",-0.22690311514123,-0.567030225901836,"ctx-superiorparietal",-0.349960507572997,-0.533449377335047,-0.247572455619716,-0.30534520569407,-0.206794054378243,0.0119772549058716,0.962420823301477
"37",0.0611909847427769,-0.418322528324655,"ctx-superiortemporal",-0.109624767231666,-0.57433502316895,-0.203566465120309,-0.283935063796713,-0.211133249355112,0.346975960447202,0.185438232918628
"38",-0.391584901639038,-0.250779833869123,"ctx-supramarginal",-0.0225352968096023,-0.432368611818513,-0.123230401253954,-0.355681682607979,0.152668428263116,0.0388448820616819,0.878593754223121
"39",-0.298240221697645,-0.312083267330292,"ctx-frontalpole",0.0798892693562732,-0.017207068714408,-0.392735373941104,-0.44755212674408,0.0433809987463038,-0.0198546068557346,0.937749657659095
"40",-0.253917383817272,-0.258734593915564,"ctx-temporalpole",0.0726785337670395,-0.097977445989502,-0.426543762310663,-0.325937298176159,-0.109497709654695,0.427074279406901,0.10818590087915
"41",-0.139462649293221,-0.00729363441051397,"ctx-transversetemporal",-0.0783401403615172,-0.430190371647905,0.164073715246657,-0.170794931525859,0.23596660458457,0.0923729333543697,0.716925423618441
"42",0.145052378299598,-0.319369199988278,"ctx-insula",-0.218203169017126,-0.574688375608867,-0.117064013505629,0.0781873080366041,-0.27189934713385,0.635655254719546,0.0225249819768538
"43",-0.170374681018353,-0.370809268281631,"VOL-TotalGrayVol",-0.252812814489753,-0.52284250193661,-0.154379086648525,-0.275950252421239,-0.0528500370467117,0.0768395764898049,0.762796735150971
